dw_site_visitor_id,variant_id,expmt_expsr_utc_ts_epoch
359785394,3324,1517853706.692
360075483,3325,1517818829.487
359811157,3324,1517847349.801
360064889,3325,1517851380.104
360204571,3324,1517881128.129
360469240,3325,1517932737.546
360224648,3324,1517923256.535
360421726,3325,1517931352.545
360529719,3325,1517937506.678
360168646,3324,1517953551.408
360406136,3324,1517935100.863
360424893,3325,1517920490.591
360204571,3324,1517881042.635
360189805,3324,1517949339.613
360168646,3324,1517953565.531
292844476,3324,1517932193.313
360224648,3324,1517923260.357
360367832,3324,1517943966.487
360402485,3325,1517928600.67
360204571,3324,1517881159.274
360233535,3325,1517937652.99
360204571,3324,1517881055.165
360224648,3324,1517923192.191
360277607,3325,1517897381.848
360204571,3324,1517881067.324
344390630,3325,1517953332.871
360424893,3325,1517920474.748
360189805,3324,1517949344.602
360416114,3325,1517952659.265
344390630,3325,1517953147.856
360421726,3325,1517931349.836
360402485,3325,1517928556.731
305518602,3325,1517955191.485
344390630,3325,1517953251.858
360204571,3324,1517881156.343
360224648,3324,1517923256.49
360469240,3325,1517932651.364
360529719,3325,1517937487.33
360283105,3325,1517952030.998
360469240,3325,1517932598.424
360204571,3324,1517881147.22
360406136,3324,1517935127.522
360402485,3325,1517928518.133
344390630,3325,1517953358.491
360189805,3324,1517949349.755
360158328,3325,1517963324.654
310674599,3324,1517978310.173
360668915,3324,1518032116.079
360993745,3324,1518023884.396
359594044,3325,1518046774.745
351015641,3325,1518019666.038
310674599,3324,1517978440.007
351015641,3325,1518019694.982
360936613,3324,1518030152.329
351015641,3325,1518019664.228
351015641,3325,1518019657.102
351027883,3324,1518039388.349
351015641,3325,1518019671.826
351015641,3325,1518019641.352
360866237,3325,1518020386.113
360890960,3324,1518016470.816
360752639,3325,1518032288.231
360866237,3325,1518020398.491
360676358,3325,1518014859.698
351015641,3325,1518019679.386
350369331,3324,1517977503.984
350369331,3324,1517977475.586
360668915,3324,1518032037.7
360976299,3324,1518035143.508
360936790,3324,1518010689.42
360936613,3324,1518030177.849
360878352,3325,1517966183.129
360635462,3325,1518039783.75
360866237,3325,1518020423.926
360768855,3324,1518024221.666
310674599,3324,1517978328.803
350369331,3324,1517977527.223
360629424,3324,1518014256.959
360752639,3325,1518032284.103
350369331,3324,1517977536.722
360697103,3324,1518033610.028
360866237,3325,1518020433.1
360686151,3324,1518020415.718
