model_idx,tree_idx,node_idx,lchild_idx,rchild_idx,feature_idx,threshold,neg,pos
0,11,32,-1,-1,-2,-2.0,12,10
0,11,33,-1,-1,-2,-2.0,12,10
0,11,34,35,36,8,4187.049290586286,10,24
0,11,35,-1,-1,-2,-2.0,2,12
0,11,36,-1,-1,-2,-2.0,8,12
0,11,37,-1,-1,-2,-2.0,24,1
0,11,38,-1,-1,-2,-2.0,27,0
0,12,0,1,22,0,729.9192043938298,271,107
0,12,1,2,3,0,597.2898064601653,223,42
0,12,2,-1,-1,-2,-2.0,39,0
0,12,3,4,11,0,686.1702326504375,184,42
0,12,4,5,8,0,639.9757665530666,86,7
0,12,5,6,7,3,0.07516786413042241,32,1
0,12,6,-1,-1,-2,-2.0,14,1
0,12,7,-1,-1,-2,-2.0,18,0
0,12,8,9,10,5,4.891018082802658,54,6
0,12,9,-1,-1,-2,-2.0,25,0
0,12,10,-1,-1,-2,-2.0,29,6
0,12,11,12,19,6,0.16176665209316027,98,35
0,12,12,13,18,8,3056.9942341078977,65,32
0,12,13,14,17,9,806.1144547784303,54,20
0,12,14,15,16,10,4160.8930916343315,49,12
0,12,15,-1,-1,-2,-2.0,27,9
0,12,16,-1,-1,-2,-2.0,22,3
0,12,17,-1,-1,-2,-2.0,5,8
0,12,18,-1,-1,-2,-2.0,11,12
0,12,19,20,21,6,2.5325510001427265,33,3
0,12,20,-1,-1,-2,-2.0,16,2
0,12,21,-1,-1,-2,-2.0,17,1
0,12,22,23,30,5,9.070101516353946,48,65
0,12,23,24,29,13,0.0055532260871949055,40,48
0,12,24,25,28,2,0.11913528202973224,30,33
0,12,25,26,27,9,1807.8125765064324,26,24
0,12,26,-1,-1,-2,-2.0,10,14
0,12,27,-1,-1,-2,-2.0,16,10
0,12,28,-1,-1,-2,-2.0,4,9
0,12,29,-1,-1,-2,-2.0,10,15
0,12,30,-1,-1,-2,-2.0,8,17
0,13,0,1,10,0,664.2686688943154,271,107
0,13,1,2,3,1,0.5886615210159968,94,3
0,13,2,-1,-1,-2,-2.0,14,0
0,13,3,4,5,5,4.564000974671916,80,3
0,13,4,-1,-1,-2,-2.0,32,0
0,13,5,6,9,0,644.5057053121299,48,3
0,13,6,7,8,5,8.354354859029108,37,1
0,13,7,-1,-1,-2,-2.0,16,1
0,13,8,-1,-1,-2,-2.0,21,0
0,13,9,-1,-1,-2,-2.0,11,2
0,13,10,11,14,1,0.8881906652872014,177,104
0,13,11,12,13,4,2.7189457969362594,24,9
0,13,12,-1,-1,-2,-2.0,12,6
0,13,13,-1,-1,-2,-2.0,12,3
0,13,14,15,24,10,7800.801624661219,153,95
0,13,15,16,23,6,1.7762860813067696,79,26
0,13,16,17,22,9,1126.557623369879,61,26
0,13,17,18,21,4,2.3692334147026917,51,16
0,13,18,19,20,13,0.002664621949738181,31,12
0,13,19,-1,-1,-2,-2.0,16,2
0,13,20,-1,-1,-2,-2.0,15,10
0,13,21,-1,-1,-2,-2.0,20,4
0,13,22,-1,-1,-2,-2.0,10,10
0,13,23,-1,-1,-2,-2.0,18,0
0,13,24,25,34,0,754.938752480754,74,69
0,13,25,26,33,7,0.6949409603583352,54,43
0,13,26,27,30,0,727.663091167185,48,32
0,13,27,28,29,5,9.621877745083477,34,12
0,13,28,-1,-1,-2,-2.0,23,6
0,13,29,-1,-1,-2,-2.0,11,6
0,13,30,31,32,4,2.5865138334159337,14,20
0,13,31,-1,-1,-2,-2.0,5,12
0,13,32,-1,-1,-2,-2.0,9,8
0,13,33,-1,-1,-2,-2.0,6,11
0,13,34,35,36,7,0.681514283028205,20,26
0,13,35,-1,-1,-2,-2.0,12,20
0,13,36,-1,-1,-2,-2.0,8,6
0,14,0,1,26,0,723.017842373819,271,107
0,14,1,2,3,0,529.8973862523667,215,38
0,14,2,-1,-1,-2,-2.0,17,0
0,14,3,4,25,14,6.999296521301985,198,38
0,14,4,5,10,1,0.959717579087766,180,38
0,14,5,6,7,0,624.1728075301148,44,12
0,14,6,-1,-1,-2,-2.0,14,1
0,14,7,8,9,0,695.8164454655798,30,11
0,14,8,-1,-1,-2,-2.0,20,5
0,14,9,-1,-1,-2,-2.0,10,6
0,14,10,11,14,0,657.5233344596454,136,26
0,14,11,12,13,6,0.2795616762151763,42,1
0,14,12,-1,-1,-2,-2.0,27,0
0,14,13,-1,-1,-2,-2.0,15,1
0,14,14,15,18,0,690.5125940388593,94,25
0,14,15,16,17,2,0.13911538713188296,33,4
0,14,16,-1,-1,-2,-2.0,14,0
0,14,17,-1,-1,-2,-2.0,19,4
0,14,18,19,24,6,1.12644026108386,61,21
0,14,19,20,21,9,459.70510165659016,48,21
0,14,20,-1,-1,-2,-2.0,27,5
0,14,21,22,23,4,1.489961570822616,21,16
0,14,22,-1,-1,-2,-2.0,11,8
0,14,23,-1,-1,-2,-2.0,10,8
0,14,24,-1,-1,-2,-2.0,13,0
0,14,25,-1,-1,-2,-2.0,18,0
0,14,26,27,38,13,0.010433974609014669,56,69
0,14,27,28,31,0,746.291174875708,46,64
0,14,28,29,30,13,0.0018718356768477938,18,19
0,14,29,-1,-1,-2,-2.0,6,7
0,14,30,-1,-1,-2,-2.0,12,12
0,14,31,32,35,4,1.8805696009102135,28,45
0,14,32,33,34,2,0.04859021702546505,16,18
0,14,33,-1,-1,-2,-2.0,5,10
0,14,34,-1,-1,-2,-2.0,11,8
0,14,35,36,37,9,2075.454536241703,12,27
0,14,36,-1,-1,-2,-2.0,5,21
0,14,37,-1,-1,-2,-2.0,7,6
0,14,38,-1,-1,-2,-2.0,10,5
0,15,0,1,14,0,692.0864857002564,271,107
0,15,1,2,13,6,5.737011256505275,135,10
0,15,2,3,4,8,254.56731744788928,116,10
0,15,3,-1,-1,-2,-2.0,23,0
0,15,4,5,10,0,660.9201741078497,93,10
0,15,5,6,9,5,9.155192058140036,58,3
0,15,6,7,8,2,0.6677421523995708,42,1
0,15,7,-1,-1,-2,-2.0,30,0
0,15,8,-1,-1,-2,-2.0,12,1
0,15,9,-1,-1,-2,-2.0,16,2
0,15,10,11,12,5,9.781532872832162,35,7
0,15,11,-1,-1,-2,-2.0,25,3
0,15,12,-1,-1,-2,-2.0,10,4
0,15,13,-1,-1,-2,-2.0,19,0
0,15,14,15,34,6,1.165239433369245,136,97
0,15,15,16,27,0,736.8969895354924,114,96
0,15,16,17,20,0,705.737134200864,75,39
